Par,r_ij
"(0, 1)",1.3258252147247767
"(0, 2)",2.4802177726810823
"(0, 3)",4.496001658760448
"(1, 2)",2.37998036524298
"(1, 3)",3.6421567954234177
"(2, 3)",3.5422200492390274
